timestamp,packet_id,sensor_degree,thermal_00,thermal_01,thermal_02,thermal_03,thermal_04,thermal_05,thermal_06,thermal_07,thermal_08,thermal_09,thermal_10,thermal_11,thermal_12,thermal_13,thermal_14,thermal_15,thermal_16,thermal_17,thermal_18,thermal_19,thermal_20,thermal_21,thermal_22,thermal_23,thermal_24,thermal_25,thermal_26,thermal_27,thermal_28,thermal_29,thermal_30,thermal_31,thermal_32,thermal_33,thermal_34,thermal_35,thermal_36,thermal_37,thermal_38,thermal_39,thermal_40,thermal_41,thermal_42,thermal_43,thermal_44,thermal_45,thermal_46,thermal_47,thermal_48,thermal_49,thermal_50,thermal_51,thermal_52,thermal_53,thermal_54,thermal_55,thermal_56,thermal_57,thermal_58,thermal_59,thermal_60,thermal_61,thermal_62,thermal_63,etc_1,etc_2
2025-07-29 14:29:00,177,29.9375,25.75,25.25,25.25,25.75,25.75,24.5,24.75,24.75,25.25,24.25,24.5,24.75,24.75,24.25,24.75,24.0,25.25,24.75,24.25,24.0,24.0,24.5,23.75,24.75,25.75,23.75,24.25,24.25,24.0,23.75,23.75,24.0,25.0,24.25,24.5,23.75,24.0,24.25,23.75,23.25,24.5,24.5,24.75,24.5,24.5,24.0,23.0,23.0,25.0,25.0,25.0,24.25,23.75,24.75,23.5,23.5,24.5,50.75,42.5,25.25,24.75,25.75,23.25,22.5,242.0,226.0
2025-07-29 14:29:00,178,29.9375,25.0,24.75,24.75,25.5,25.0,25.0,24.75,26.25,25.5,25.25,24.5,25.25,25.0,24.5,24.5,25.0,25.0,24.75,24.5,24.75,24.5,24.25,24.25,24.25,25.25,24.75,25.25,24.25,24.5,24.0,24.0,23.75,24.75,24.25,24.75,24.5,24.5,24.0,24.25,23.75,24.75,24.5,24.5,24.5,24.0,23.75,23.0,24.0,24.75,25.0,25.0,24.0,24.5,24.0,23.5,23.5,25.25,51.0,42.5,24.5,26.0,25.0,23.0,22.5,242.0,225.0
2025-07-29 14:29:00,179,29.9375,25.25,25.25,25.5,25.75,25.75,25.5,25.75,26.25,25.0,24.75,25.25,24.75,24.75,24.75,25.0,24.25,25.75,25.25,24.75,24.75,24.75,24.75,23.75,24.5,25.5,24.25,25.5,25.0,24.5,24.75,24.5,24.5,24.75,24.75,24.5,24.25,25.0,24.5,24.0,24.25,25.0,24.5,25.0,24.25,24.25,24.25,23.75,24.0,25.0,25.25,25.75,25.5,24.75,24.75,24.25,23.25,24.75,51.25,42.75,25.0,25.75,25.0,23.0,22.25,241.0,225.0
2025-07-29 14:29:01,180,30.0,26.0,25.75,25.25,26.0,25.5,25.25,25.75,25.5,25.5,25.0,25.25,25.0,25.5,25.25,25.0,24.5,25.25,25.25,24.75,24.75,25.0,24.5,24.5,24.5,25.5,24.5,24.5,24.75,24.25,24.0,24.75,24.75,25.0,24.25,24.75,24.75,24.75,24.25,24.0,24.5,25.0,24.75,24.75,24.5,24.0,24.25,23.5,23.75,25.0,25.0,25.75,25.0,24.5,24.5,23.5,23.75,24.75,50.75,42.5,25.0,25.75,25.25,23.25,22.75,242.0,225.0
2025-07-29 14:29:01,181,29.9375,26.25,25.75,25.5,26.0,25.0,25.5,25.75,26.0,25.75,25.0,25.75,26.0,25.0,25.25,24.75,25.0,25.5,25.25,24.75,25.0,25.0,24.5,24.5,24.5,25.5,24.5,25.0,24.5,25.0,25.0,24.75,25.0,24.5,24.5,24.75,25.0,24.75,24.75,24.0,23.75,24.5,24.5,24.25,24.75,24.25,24.5,23.75,24.0,24.5,25.25,25.75,24.75,24.75,25.0,24.0,23.5,24.75,50.25,42.75,25.25,26.0,25.5,23.0,22.25,242.0,225.0
2025-07-29 14:29:01,182,29.9375,26.0,26.0,25.75,26.0,26.0,25.75,24.75,25.75,26.0,25.0,25.25,25.0,24.75,25.5,24.5,25.0,25.75,25.0,24.75,24.75,25.0,25.0,24.5,24.25,25.0,24.75,24.75,24.75,24.5,24.75,24.25,24.25,25.5,24.5,24.75,24.75,24.5,24.75,23.5,23.75,24.0,24.75,24.5,25.0,24.5,24.25,23.75,23.75,24.75,25.5,26.0,24.75,24.0,24.75,24.0,23.5,25.5,50.5,42.5,25.0,25.5,25.75,23.5,23.0,242.0,225.0
2025-07-29 14:29:01,183,29.9375,25.75,25.5,26.0,26.25,26.0,26.0,25.5,26.0,26.5,24.75,25.0,25.75,25.5,25.75,25.0,25.0,25.5,25.25,25.0,25.0,24.5,25.0,24.75,25.0,26.25,24.75,25.5,24.5,24.75,24.5,24.75,24.5,25.5,25.25,25.0,24.75,25.0,25.0,24.25,24.5,25.0,25.0,24.5,25.0,24.25,25.0,24.25,24.0,25.25,26.0,26.0,24.75,24.5,25.0,24.5,24.25,24.5,50.75,42.5,25.25,26.25,25.75,23.5,22.75,241.0,225.0
2025-07-29 14:29:02,184,29.9375,27.0,25.75,26.5,26.5,26.0,26.0,25.5,26.0,26.0,24.75,25.75,26.5,25.0,25.0,25.0,24.75,26.25,25.5,25.0,25.25,25.0,24.75,24.75,24.5,26.25,24.75,25.25,24.75,24.5,24.25,24.25,24.75,24.5,25.0,24.75,25.0,25.0,24.75,24.25,24.5,25.25,25.25,24.75,25.0,25.0,24.5,23.75,24.0,25.0,25.5,25.5,24.75,25.0,25.0,24.25,24.0,25.0,51.0,42.75,26.0,25.75,25.25,23.25,23.5,242.0,225.0
2025-07-29 14:29:02,185,29.9375,25.75,25.5,26.0,26.25,26.25,26.0,25.75,26.5,25.75,26.0,25.5,25.5,25.75,25.25,25.25,25.0,26.5,25.0,25.5,25.0,25.25,25.0,25.25,24.25,26.0,25.25,25.25,25.0,24.5,24.75,24.0,24.25,24.5,25.25,25.25,24.5,25.25,24.75,24.75,25.5,24.25,25.25,24.5,25.0,24.75,24.25,24.5,24.5,25.0,25.25,25.5,25.25,24.75,25.25,24.5,23.75,26.0,51.25,42.75,25.5,26.0,26.0,23.25,22.75,241.0,225.0
2025-07-29 14:29:02,186,29.9375,26.25,25.75,25.25,26.0,26.0,25.25,25.25,26.75,26.25,25.5,25.0,25.75,25.25,25.25,24.75,25.0,25.75,25.5,24.5,25.0,24.75,24.5,24.5,24.5,26.5,25.25,25.75,25.0,25.25,25.25,25.0,24.75,25.0,24.75,25.25,24.75,24.75,25.0,24.0,24.75,24.5,25.0,24.75,24.5,25.0,24.25,24.5,24.25,24.75,25.75,25.25,24.5,24.75,24.5,23.75,24.0,25.0,50.25,42.75,25.25,25.5,26.0,23.25,22.5,242.0,225.0
2025-07-29 14:29:03,187,29.9375,26.0,25.75,26.25,26.0,25.5,25.75,24.75,25.25,25.75,25.25,25.0,25.25,25.25,24.75,25.0,25.25,26.0,25.5,25.0,25.0,24.5,24.75,24.25,24.25,26.0,24.75,25.0,24.75,24.75,24.5,24.0,24.0,25.0,24.25,25.25,24.75,24.5,24.25,24.25,24.75,25.25,24.75,24.0,24.75,24.0,24.0,23.75,23.75,25.0,25.75,25.5,25.5,24.75,24.75,23.75,23.75,25.75,50.75,42.25,25.5,25.75,25.75,23.25,23.25,241.0,225.0
2025-07-29 14:29:03,188,29.9375,26.0,25.25,25.5,25.75,26.0,25.25,24.75,26.0,25.75,24.5,25.5,24.75,24.75,25.25,25.0,24.5,25.25,25.25,24.25,24.5,24.5,24.75,24.25,25.0,25.75,25.25,25.25,25.0,24.5,24.75,24.75,24.5,25.25,24.75,24.75,25.25,25.0,24.75,23.75,24.5,24.5,25.0,24.75,25.25,24.25,24.0,24.0,23.75,24.75,25.75,25.75,25.25,24.75,24.5,24.25,23.5,24.75,50.75,42.75,25.25,25.25,25.5,23.25,22.75,242.0,225.0
2025-07-29 14:29:03,189,29.9375,26.5,25.75,25.5,26.5,25.5,25.75,25.0,26.25,26.0,25.0,25.5,25.5,25.0,25.0,25.25,24.0,25.5,25.0,24.75,25.25,24.75,25.5,24.25,24.25,25.5,25.0,25.25,25.25,24.25,24.75,24.5,24.75,25.25,24.25,25.0,25.0,24.75,25.0,24.0,24.75,25.0,25.0,24.75,25.0,25.0,24.5,24.0,24.75,24.5,25.5,25.75,25.0,24.75,24.5,24.75,23.75,24.75,50.5,42.75,25.25,25.75,25.75,24.0,23.0,241.0,225.0
2025-07-29 14:29:03,190,29.9375,26.25,25.5,26.0,25.75,25.75,25.25,25.5,26.75,25.75,25.0,25.25,25.0,25.25,24.75,25.0,25.0,25.5,25.0,24.75,24.75,24.75,24.75,24.25,25.0,25.0,24.75,25.5,24.5,25.25,24.25,24.5,24.75,25.0,24.5,25.5,24.5,24.75,24.25,24.75,24.0,25.0,25.25,25.0,24.75,24.5,24.25,23.75,24.25,25.75,26.0,25.5,24.75,25.0,25.0,24.0,23.75,24.5,51.0,42.75,25.25,25.75,25.75,23.5,22.5,241.0,225.0
2025-07-29 14:29:04,191,29.9375,26.25,25.75,26.25,26.5,25.75,25.5,24.5,25.75,26.0,25.25,25.0,25.25,25.0,24.5,25.0,24.75,26.0,25.25,25.25,25.0,24.75,24.75,24.0,24.75,25.25,25.0,25.5,24.5,24.5,24.75,24.25,25.0,25.0,25.0,24.75,24.25,24.75,25.0,24.25,24.5,24.0,25.0,24.75,24.75,24.5,24.25,23.5,24.0,25.5,25.5,25.5,25.0,24.25,24.5,23.75,23.5,25.0,51.75,43.0,25.5,25.75,25.75,23.25,23.5,241.0,225.0
2025-07-29 14:29:04,192,29.9375,26.0,25.5,25.0,25.75,25.75,25.0,24.5,26.75,25.0,24.5,25.0,25.5,24.5,24.75,24.25,24.25,25.5,24.75,24.5,24.75,24.5,24.5,24.5,24.25,25.5,24.5,25.5,24.25,24.25,24.25,24.5,24.25,24.75,24.75,24.75,24.25,24.5,24.25,24.0,24.5,24.0,24.75,24.5,24.5,24.25,24.0,23.5,23.75,24.75,25.25,25.75,24.5,24.75,24.75,24.25,23.25,24.75,51.0,42.5,25.5,24.75,25.25,23.0,23.25,242.0,225.0
2025-07-29 14:29:04,193,29.9375,26.0,25.75,25.25,25.5,25.75,25.0,25.75,25.25,25.5,25.0,25.25,25.25,24.75,25.0,24.75,24.5,26.0,24.75,24.5,25.0,24.75,24.5,24.75,25.0,25.5,24.75,24.75,25.0,24.5,24.25,24.25,24.25,25.0,25.25,24.75,25.0,24.75,24.5,23.75,24.5,26.25,25.0,25.25,24.5,24.75,23.75,23.75,24.25,25.5,25.25,25.75,25.25,25.0,25.0,24.5,23.25,25.5,50.5,43.25,25.5,25.25,26.0,24.25,23.0,242.0,225.0
2025-07-29 14:29:05,194,29.9375,25.25,25.25,25.5,25.75,25.25,25.75,24.75,25.75,25.75,24.5,24.25,25.0,24.75,24.75,24.75,24.25,25.0,24.75,24.75,24.75,24.75,24.5,24.25,24.0,25.5,24.75,25.0,25.0,24.0,24.25,24.25,23.75,24.75,24.25,24.5,24.0,24.5,24.25,23.0,23.5,24.25,24.75,24.75,24.75,24.5,24.25,23.75,24.25,25.0,25.75,25.5,24.75,24.5,25.0,23.75,23.5,25.25,50.5,42.75,25.5,25.5,25.5,23.0,22.0,242.0,225.0
2025-07-29 14:29:05,195,29.9375,25.5,25.75,25.25,25.5,25.75,25.25,24.75,26.0,25.75,25.0,25.25,25.25,25.0,25.0,24.75,24.75,25.75,25.0,25.0,25.25,24.25,24.25,24.25,24.25,25.5,25.25,25.25,24.75,24.5,24.5,24.75,24.5,25.25,24.75,25.0,24.75,24.75,24.5,24.0,24.25,25.0,24.75,24.5,24.5,24.5,24.25,24.0,23.75,24.5,25.0,25.0,24.5,24.5,24.75,24.75,23.5,25.75,50.75,42.5,25.75,25.5,26.0,23.25,23.0,241.0,225.0
2025-07-29 14:29:05,196,29.9375,25.5,25.75,25.25,26.0,25.5,25.5,25.25,26.5,25.5,24.75,25.0,25.5,24.75,24.75,24.75,23.75,25.5,25.75,24.5,24.75,25.0,24.25,24.5,24.25,25.75,24.5,25.0,24.5,24.75,24.5,24.5,24.5,25.0,24.75,24.75,24.75,24.25,24.75,23.75,24.0,24.75,25.0,24.5,25.0,24.75,24.25,23.75,23.75,24.75,25.5,25.5,24.75,23.75,24.75,23.75,24.0,25.25,51.25,42.5,25.25,25.75,26.0,23.75,23.75,242.0,225.0
2025-07-29 14:29:06,197,29.9375,25.5,25.0,25.0,25.5,25.5,25.0,24.5,25.75,26.0,24.5,24.75,25.25,24.75,24.5,24.5,24.75,25.5,25.0,24.5,24.75,24.75,24.0,23.75,24.25,25.25,24.5,24.75,24.5,24.25,24.0,24.5,24.5,25.0,25.0,24.75,24.5,24.5,24.5,24.25,24.75,25.0,24.5,24.5,24.5,25.0,24.0,24.0,23.5,24.5,25.75,25.75,24.5,24.25,25.0,23.75,23.25,25.0,51.0,42.5,25.25,26.0,25.75,23.25,23.0,241.0,225.0
2025-07-29 14:29:06,198,29.9375,26.0,25.75,25.25,25.75,25.25,25.25,25.25,25.0,26.0,25.25,25.0,25.0,25.25,24.5,24.5,24.5,25.5,25.0,24.75,24.75,24.75,24.5,24.5,24.0,25.75,24.25,25.0,24.5,24.5,24.0,24.25,24.5,24.75,24.25,24.5,23.75,24.5,24.5,23.75,24.25,25.0,24.75,24.25,24.75,24.25,24.0,23.75,24.5,24.75,25.5,25.75,24.75,24.5,24.5,24.0,23.5,25.0,50.75,43.0,24.75,26.0,25.5,23.5,23.5,242.0,225.0
2025-07-29 14:29:06,199,29.9375,25.75,25.0,25.0,25.25,24.75,24.5,24.5,25.25,26.0,24.25,25.0,25.0,25.0,24.5,24.25,24.25,25.25,25.0,24.0,24.0,24.5,24.5,24.25,24.25,25.5,24.5,24.75,24.25,24.25,24.0,24.25,24.75,24.5,24.25,24.5,24.5,23.75,24.0,23.5,24.5,24.25,25.0,24.25,24.5,24.0,24.25,24.0,23.5,25.0,25.75,25.5,24.75,24.0,24.25,24.5,23.5,25.25,50.5,42.75,25.25,25.75,25.75,23.5,22.75,242.0,225.0
2025-07-29 14:29:06,200,29.9375,25.5,25.0,25.25,25.5,24.75,25.25,25.0,25.25,26.0,24.25,25.25,25.0,24.75,25.25,24.25,24.0,25.25,25.25,24.25,25.0,24.5,24.25,24.75,24.5,25.5,24.5,24.75,24.25,24.25,24.75,24.75,24.75,24.75,24.5,24.25,24.0,24.25,23.75,23.75,23.75,24.75,24.25,24.5,25.0,24.0,24.0,23.75,24.0,24.25,25.25,25.25,25.0,24.5,24.25,23.75,24.25,26.0,51.0,43.0,26.0,26.25,25.75,24.0,23.25,242.0,225.0
