frame_id,detected,confidence,intensity_level,heat_intensity,foreground_pixels,foreground_percentage,num_components,max_temp,avg_temp,min_temp
0,False,0.0,매우 낮음,0.0,0,0.0,0,25.75,24.3046875,23.0
1,False,0.0,매우 낮음,0.0,0,0.0,0,26.0,24.21875,23.0
2,False,21.50081699346405,보통,100.8,5,0.8680555555555556,0,25.75,24.17578125,23.0
3,False,17.969771241830063,낮음,86.33333333333333,3,0.5208333333333333,0,25.5,24.14453125,23.25
4,False,25.97222222222222,보통,104.125,16,2.7777777777777777,0,25.5,24.0625,22.75
5,True,50.43583459024636,낮음,96.07692307692308,91,15.79861111111111,3,25.75,23.8984375,23.0
6,True,30.52099044746103,보통,109.61538461538461,26,4.513888888888888,1,26.25,24.06640625,23.25
7,True,32.86986461251167,보통,105.65714285714286,35,6.076388888888888,1,26.0,24.15625,23.0
8,False,32.598353443941676,보통,143.23076923076923,13,2.256944444444444,0,26.5,24.21484375,23.25
9,True,38.721405228758165,높음,178.0,11,1.9097222222222223,1,27.25,24.3203125,23.25
10,True,36.462418300653596,보통,143.45833333333334,24,4.166666666666666,1,26.0,24.26953125,23.25
11,True,34.77400906599199,보통,122.45161290322581,31,5.381944444444445,2,26.75,24.140625,23.25
12,True,37.81742599000384,높음,162.76470588235293,17,2.951388888888889,1,27.0,24.3671875,23.0
13,False,32.287581699346404,높음,150.5,8,1.3888888888888888,0,26.0,24.5,23.5
14,True,31.303104575163395,보통,131.3125,16,2.7777777777777777,1,26.0,24.37890625,22.75
15,True,34.52490053992612,보통,135.34782608695653,23,3.9930555555555554,1,26.75,24.39453125,23.0
16,False,30.686274509803923,보통,135.25,12,2.083333333333333,0,26.0,24.3671875,23.25
17,True,31.95261437908497,보통,134.625,16,2.7777777777777777,1,25.75,24.3671875,23.0
18,False,29.2431669637552,보통,110.18181818181819,22,3.8194444444444446,0,26.25,24.1796875,22.75
19,False,29.660947712418302,보통,135.33333333333334,9,1.5625,0,26.0,24.27734375,23.0
20,False,24.257897603485837,보통,107.77777777777777,9,1.5625,0,25.75,24.3515625,23.25
21,False,19.955065359477125,보통,100.0,1,0.1736111111111111,0,25.25,24.26953125,23.25
22,False,27.573529411764703,보통,130.0,6,1.0416666666666665,0,25.75,24.26171875,23.0
23,True,33.040849673202615,낮음,97.675,40,6.944444444444445,1,25.5,24.09765625,22.75
24,False,33.76860929557008,보통,124.4074074074074,27,4.6875,0,25.75,24.25,23.25
25,True,23.653104575163397,낮음,76.36,25,4.340277777777778,1,25.5,24.19140625,22.5
26,True,38.60487616099071,낮음,95.94736842105263,57,9.895833333333332,2,25.75,24.08984375,22.25
27,True,38.450872487359725,보통,102.24528301886792,53,9.20138888888889,2,26.25,24.078125,22.0
28,True,37.664243858462925,낮음,89.37931034482759,58,10.069444444444445,2,25.5,23.9921875,22.5
29,True,48.27266400387316,보통,102.75308641975309,81,14.0625,2,25.25,23.9921875,23.0
30,True,98.17313157146917,낮음,93.3913043478261,230,39.93055555555556,5,26.0,23.734375,22.75
31,True,62.81008044243339,낮음,90.12307692307692,130,22.569444444444446,5,25.5,23.83203125,22.25
32,True,92.70061519231348,낮음,88.50230414746544,217,37.67361111111111,3,25.5,23.78515625,21.75
33,True,100.0,낮음,91.86545454545454,275,47.74305555555556,3,26.25,23.765625,22.5
34,True,100.0,낮음,90.46979865771812,298,51.736111111111114,2,26.0,23.74609375,22.75
35,True,100.0,낮음,88.8731343283582,268,46.52777777777778,2,25.75,23.75390625,22.25
36,True,50.903551771585825,낮음,91.37894736842105,95,16.493055555555554,2,26.25,23.91796875,22.25
37,True,31.21694890077243,보통,139.72727272727272,11,1.9097222222222223,1,25.75,24.15234375,23.25
38,True,35.78902714932127,보통,113.46153846153847,39,6.770833333333333,2,25.75,24.1171875,23.0
39,True,31.572712418300654,보통,138.0,13,2.256944444444444,1,25.75,24.30078125,23.25
40,True,34.564830834294504,보통,146.1764705882353,17,2.951388888888889,1,26.0,24.40234375,23.25
41,True,32.05065359477124,보통,135.125,16,2.7777777777777777,1,26.0,24.4140625,23.25
42,False,25.494281045751634,보통,107.0,13,2.256944444444444,0,25.25,24.3125,22.75
43,True,39.97140522875817,보통,147.1875,32,5.555555555555555,2,26.0,24.578125,23.25
44,True,32.549019607843135,보통,144.75,12,2.083333333333333,1,26.0,24.52734375,23.5
45,True,32.535403050108926,보통,134.05555555555554,18,3.125,1,25.75,24.484375,23.0
46,True,34.03004720406681,보통,125.74074074074075,27,4.6875,1,25.75,24.546875,22.75
47,False,27.236928104575163,보통,121.2,10,1.7361111111111112,0,25.5,24.3515625,23.0
48,True,34.533238734090126,보통,142.47368421052633,19,3.298611111111111,1,26.25,24.5546875,23.5
49,True,33.25435729847494,보통,137.72222222222223,18,3.125,1,26.0,24.52734375,23.25
50,False,26.23334590246355,보통,110.76923076923077,13,2.256944444444444,0,25.5,24.453125,22.75
51,False,27.19865510306687,보통,115.6923076923077,13,2.256944444444444,0,25.75,24.515625,22.5
52,False,32.67565359477124,보통,138.3125,16,2.7777777777777777,0,26.0,24.30859375,23.0
53,False,34.98366013071895,보통,143.0,20,3.4722222222222223,0,26.0,24.4921875,23.25
54,False,20.343508615567437,낮음,84.27272727272727,11,1.9097222222222223,0,25.5,24.28125,22.5
55,False,28.09722222222222,보통,116.73333333333333,15,2.604166666666667,0,26.25,24.58203125,22.5
56,True,41.701438705563525,보통,140.0731707317073,41,7.118055555555555,2,26.0,24.6015625,23.5
57,False,34.89204014939309,보통,140.76190476190476,21,3.6458333333333335,0,25.75,24.59375,23.5
58,True,36.74270990447461,보통,141.34615384615384,26,4.513888888888888,1,25.75,24.44921875,23.25
59,False,23.438958916900095,보통,107.14285714285714,7,1.215277777777778,0,25.75,24.15625,23.0
60,False,26.783769063180827,보통,104.72222222222223,18,3.125,0,25.75,24.26171875,23.0
61,False,31.4486779560309,보통,140.9090909090909,11,1.9097222222222223,0,26.0,24.296875,23.0
62,True,32.55392156862745,보통,112.9,30,5.208333333333334,1,25.75,24.19921875,23.25
63,True,34.72179222566219,보통,109.78947368421052,38,6.597222222222222,1,25.5,24.2265625,23.0
64,True,29.873366013071895,보통,101.0,29,5.034722222222222,1,25.25,24.0390625,22.5
65,True,36.59937220502236,낮음,85.71929824561404,57,9.895833333333332,3,25.25,24.03515625,22.75
66,True,84.46486928104575,낮음,89.0,193,33.50694444444444,2,26.25,23.82421875,22.75
67,True,27.263655462184875,보통,101.85714285714286,21,3.6458333333333335,1,26.0,24.015625,23.0
68,True,42.06465919701213,낮음,90.57142857142857,70,12.152777777777777,3,26.75,24.0859375,22.25
69,True,32.07350733086027,낮음,98.05405405405405,37,6.423611111111111,1,25.25,24.04296875,23.0
70,True,40.22504456327985,낮음,88.27272727272727,66,11.458333333333332,2,25.75,24.05078125,22.25
71,True,100.0,낮음,86.016,250,43.40277777777778,1,25.0,23.71875,22.0
72,True,38.053026766262064,낮음,82.5079365079365,63,10.9375,2,25.5,24.0,22.75
73,True,31.873495012039903,낮음,95.26315789473684,38,6.597222222222222,1,25.25,24.046875,22.5
74,True,43.700550395596835,낮음,88.28947368421052,76,13.194444444444445,2,25.5,23.94921875,22.25
75,True,48.95300910626423,낮음,92.0561797752809,89,15.45138888888889,6,25.5,23.88671875,21.75
76,True,100.0,낮음,87.0919540229885,261,45.3125,3,25.25,23.6796875,22.25
77,True,55.60614043125038,낮음,94.11214953271028,107,18.57638888888889,4,25.5,23.91015625,22.75
78,True,37.315592903828204,낮음,91.14285714285714,56,9.722222222222223,3,26.25,24.03125,22.25
79,True,41.53410288846722,보통,102.03225806451613,62,10.76388888888889,2,26.75,24.00390625,22.75
80,True,47.1932429834679,낮음,90.16470588235295,85,14.756944444444445,3,25.5,23.94140625,22.5
81,True,46.30485527544351,낮음,87.4047619047619,84,14.583333333333334,4,26.75,23.953125,22.0
