frame_id,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63
35,25.0,25.25,24.5,25.0,25.5,24.75,24.5,24.5,25.0,24.5,25.0,25.25,25.0,24.5,24.5,24.25,25.25,24.25,24.25,24.25,24.25,24.0,24.75,24.5,25.25,24.25,25.25,24.25,23.75,24.5,24.5,25.0,24.5,24.5,24.25,24.5,24.0,24.5,24.0,24.5,25.25,24.75,24.0,25.0,24.0,24.25,23.75,23.5,25.0,25.5,24.25,24.75,24.75,25.0,24.0,24.0,24.75,25.0,25.25,24.25,26.0,26.25,24.0,23.75
36,24.25,24.75,25.0,25.0,25.0,24.75,24.25,25.25,25.75,24.0,25.0,25.5,24.75,24.75,25.0,24.25,25.25,25.25,24.25,24.75,24.25,24.75,24.25,24.25,25.75,24.75,25.5,24.25,24.25,24.5,24.0,24.25,25.25,24.5,24.25,24.5,24.25,23.75,24.0,24.25,25.25,24.75,24.25,24.5,25.0,24.0,23.75,24.5,25.0,25.75,24.25,24.5,25.0,24.25,24.5,23.5,25.25,25.5,25.5,25.25,25.25,26.0,24.0,23.75
37,25.0,24.75,24.5,25.0,25.0,24.5,24.0,25.5,25.75,24.75,24.75,24.75,25.25,24.75,24.75,24.0,25.25,25.0,24.0,24.75,24.0,24.25,24.5,24.75,25.5,24.75,25.25,24.25,24.0,24.25,23.75,24.25,24.0,24.0,24.75,25.0,24.0,24.0,24.0,24.25,24.5,24.5,24.5,24.5,24.5,24.25,24.0,23.75,25.25,24.75,24.75,24.5,24.5,24.75,24.5,23.75,26.0,24.25,25.0,25.0,25.75,25.0,23.5,23.75
38,24.0,24.25,24.75,25.5,24.5,24.5,24.25,24.75,25.75,24.0,25.0,24.75,24.5,24.5,25.0,24.0,25.0,24.75,24.5,24.25,24.5,23.5,24.25,23.75,25.25,24.0,24.75,24.0,24.0,24.25,24.5,24.0,24.75,24.25,24.25,24.25,24.0,23.5,24.0,24.25,24.75,24.5,23.75,24.5,24.25,25.0,23.0,23.5,25.0,25.25,24.75,24.0,24.0,24.25,23.75,23.25,24.75,25.25,25.75,25.5,24.25,25.25,23.25,23.5
39,25.25,24.75,25.25,25.0,24.75,25.0,24.0,25.25,25.5,24.75,25.0,25.0,24.75,24.25,24.5,24.0,25.75,25.0,24.25,24.5,24.5,24.25,24.25,24.5,25.75,23.75,25.0,24.25,24.25,23.75,24.0,24.0,24.5,24.25,24.25,24.75,24.75,24.0,24.0,24.5,24.5,24.75,24.25,24.5,24.0,24.0,24.0,24.5,25.0,24.75,24.5,24.0,24.75,24.5,24.25,24.0,25.25,24.75,25.25,25.25,25.25,25.25,24.5,24.25
40,24.5,24.5,24.5,25.25,25.0,24.0,24.0,24.5,25.75,24.25,24.75,24.25,24.5,24.25,24.5,23.75,25.75,25.0,24.5,24.75,24.0,24.0,24.5,24.75,25.75,25.0,25.0,24.25,24.0,24.0,24.25,24.25,24.25,24.5,24.5,24.0,23.75,24.25,24.25,24.75,24.75,24.5,24.0,24.75,24.25,24.75,24.0,24.75,24.5,25.0,24.75,24.75,24.25,25.0,24.0,24.25,26.25,24.75,25.0,25.5,25.25,25.75,23.75,24.5
41,24.5,25.0,25.0,25.5,24.5,24.75,24.0,25.5,25.75,24.0,25.0,24.75,24.75,24.75,24.5,24.0,26.25,24.75,24.5,24.5,24.5,23.75,24.0,24.25,26.0,24.0,25.0,24.25,24.5,24.75,24.0,23.75,24.25,24.5,24.25,24.0,24.25,24.25,24.0,25.0,24.75,24.5,24.75,24.25,24.25,24.5,23.75,24.25,24.5,25.0,25.0,24.25,24.75,24.25,24.25,23.75,26.25,25.5,25.25,25.75,25.5,25.0,24.5,24.25
42,24.75,25.0,24.75,25.25,24.75,24.25,24.5,25.0,25.5,24.0,24.75,24.75,24.5,24.0,24.75,24.25,25.0,25.5,24.25,24.75,24.75,24.75,24.25,24.5,24.75,25.0,25.0,24.75,24.0,24.25,24.5,24.5,25.0,24.5,24.5,24.75,24.0,24.5,24.25,25.0,24.75,24.5,24.5,24.25,24.75,24.5,24.0,24.75,25.5,24.5,24.75,25.0,24.75,25.25,23.75,24.25,25.25,25.25,25.5,25.5,25.25,25.25,24.5,24.0
43,24.0,24.75,24.75,25.5,24.5,24.5,24.5,24.25,25.75,24.5,25.0,25.0,24.25,24.0,25.0,24.5,25.25,24.75,24.25,24.75,24.0,24.25,24.0,24.5,25.5,24.0,24.75,24.0,24.25,24.25,24.75,24.75,24.75,24.5,24.75,25.0,24.5,24.25,24.0,24.5,24.75,25.0,24.5,24.75,23.75,24.25,23.75,23.75,25.0,25.25,25.0,24.25,24.5,24.25,24.5,24.5,25.75,25.25,25.75,25.0,25.5,25.75,24.25,24.75
44,25.0,24.25,24.5,25.0,24.25,24.5,23.75,25.25,25.0,24.25,24.25,25.0,24.25,24.75,24.75,23.75,25.5,25.0,24.25,24.75,24.25,24.5,23.5,24.5,25.75,24.25,25.25,24.25,24.0,23.75,24.25,24.25,24.75,24.0,24.75,24.0,24.25,24.25,24.25,24.25,25.25,25.0,24.0,24.75,24.5,24.0,23.75,25.0,25.25,25.0,25.25,24.25,24.75,24.25,24.25,23.75,25.75,25.0,25.25,24.75,25.5,25.25,23.75,23.25
